id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
1026958598499549952,AKA Times Square - Two Bedroom Platinum Suite,176950781,AKA Times Square,Manhattan,Theater District,Private room,818.0,5.0,11,364
1027032751654210048,Cozy 1 bedroom Bungalow,403478461,Daniel,Bronx,Throgs Neck,Entire home/apt,96.0,30.0,2,163
1032875325263160064,Cute Quiet Room in NYC NearMetro,25414207,Brooklyn P,Brooklyn,Bedford-Stuyvesant,Private room,189.0,1.0,81,308
1032905729887289984,Beautiful Studio Downtown NYC,527543193,NY Homes,Manhattan,Financial District,Entire home/apt,390.0,3.0,54,89
1033019798667580032,52-3D Massive New Reno 2BR/2BTH Doorman Mid. East,162280872,Urban Furnished,Manhattan,Midtown,Entire home/apt,746.0,30.0,0,223
1033057963245379968,Very Large 3 Bedroom 2 Bath,284563606,Arben,Manhattan,Murray Hill,Entire home/apt,564.0,1.0,163,117
1033527197628679936,Upper East Side Highrise w patio,548272499,Hanan,Manhattan,East Harlem,Private room,129.0,30.0,0,269
1033555318888189952,153-1G Newly Renovated 2BR Lower East Side,162280872,Urban Furnished,Manhattan,Lower East Side,Entire home/apt,232.0,30.0,3,359
1033563488863139968,Hosted Fabulous Master bdrm with full private Bath,548292248,John,Queens,Rosedale,Private room,177.0,2.0,37,357
1033594152124760064,Studio Apartment in Lower East Side (Murphy Bed),16540215,Andre,Manhattan,Lower East Side,Entire home/apt,172.0,30.0,1,83
1033633370292099968,Safe Haven (Rosedale Queens) NY,548306397,Hubert,Queens,Rosedale,Entire home/apt,142.0,30.0,0,360
1033665025367270016,~Chic~Designer 2 Bedroom Flat~Greenwich Village,548313465,Karter,Manhattan,West Village,Entire home/apt,621.0,2.0,66,126
1033928058346989952,"Big, Sunny 2BD w/ 2 Balconies, Washer/Dryer, Elev",51239388,Sarah,Brooklyn,Williamsburg,Entire home/apt,177.0,30.0,9,332
1033953863075330048,Easy access to J Washigton Bridge,19303369,Hiroki,Manhattan,Washington Heights,Private room,37.0,30.0,0,47
1033965000448000000,Greenwich Village One Bedroom with gym and doorman,22541573,Furnished Quarters,Manhattan,East Village,Entire home/apt,419.0,30.0,0,360
1034015845992969984,Frugal and Efficient NYC Stay,548380287,Promy.Riz,Brooklyn,East New York,Entire home/apt,206.0,30.0,0,364
1034100855619069952,Sunny: Spacious M & L WiFi Netflix AC Bushwick,250111321,Alice,Brooklyn,Bushwick,Private room,103.0,1.0,134,357
1034113003712979968,Chinatown 2bdr unit,75266494,Zviadi,Manhattan,Chinatown,Entire home/apt,197.0,1.0,112,34
1034127602506569984,Apartment in Brooklyn,65925820,Kishma,Brooklyn,Bergen Beach,Entire home/apt,262.0,30.0,1,360
1034128450049100032,Artsy One-Bedroom Apartment in Lower East Side,9681490,Florencia,Manhattan,Chinatown,Entire home/apt,191.0,30.0,0,362
1034235578841139968,Gorgeous 2 Bed 2 Bath,417389851,Uljan,Brooklyn,Gowanus,Entire home/apt,168.0,30.0,8,267
1034266243065929984,Kemâ€™s Comfort Space,153953079,Kemi,Brooklyn,Bergen Beach,Entire home/apt,149.0,30.0,0,360
1034325119213420032,Gorgeous Apartment in Rosedale Queens NY,548292248,John,Queens,Rosedale,Private room,120.0,2.0,33,360
1034331064246320000,Beautiful Apt in Rosedale Queens NY.,548292248,John,Queens,Rosedale,Private room,120.0,2.0,24,360
1034434505251209984,Midtown South,544787436,Andrew,Manhattan,Hell's Kitchen,Entire home/apt,209.0,30.0,0,364
1034762851428249984,Studio near NYC | Kichentte | Work Space,30283594,Global Luxury Suites,Bronx,Port Morris,Entire home/apt,181.0,1.0,43,365
